"Year","OFL (mt)","ABC (mt)","ACL (mt)","Catch (mt)"
2014,"fill in","fill in","fill in",680.836
2015,"fill in","fill in","fill in",1487.27
2016,"fill in","fill in","fill in",1571.26
2017,"fill in","fill in","fill in",1025.49
2018,"fill in","fill in","fill in",977.285
2019,"fill in","fill in","fill in",406.162
2020,"fill in","fill in","fill in",439.608
2021,"fill in","fill in","fill in",470.935
2022,"fill in","fill in","fill in",512.387
2023,"fill in","fill in","fill in",406.155
